iter	Passed	Remaining
0	18	18027
1	25	12620
2	33	11171
3	38	9541
4	41	8267
5	47	7846
6	50	7167
7	55	6847
8	60	6712
9	66	6606
10	71	6385
11	75	6245
12	81	6186
13	84	5972
14	94	6203
15	99	6126
16	104	6015
17	110	6022
18	115	5953
19	119	5847
20	125	5840
21	129	5775
22	132	5626
23	135	5511
24	139	5449
25	144	5402
26	147	5297
27	151	5261
28	156	5249
29	161	5208
30	163	5122
31	167	5059
32	172	5049
33	176	5021
34	179	4952
35	183	4918
36	188	4901
37	192	4866
38	195	4827
39	199	4782
40	205	4797
41	208	4750
42	212	4720
43	215	4690
44	220	4679
45	223	4645
46	227	4622
47	233	4634
48	237	4609
49	240	4570
50	244	4548
51	249	4552
52	253	4536
53	258	4525
54	263	4530
55	268	4518
56	270	4473
57	274	4451
58	285	4553
59	289	4529
60	292	4497
61	297	4493
62	301	4482
63	306	4486
64	313	4505
65	317	4489
66	323	4503
67	330	4533
68	333	4501
69	336	4472
70	342	4483
71	346	4471
72	350	4452
73	352	4411
74	357	4413
75	362	4411
76	367	4410
77	373	4418
78	378	4414
79	380	4380
80	384	4360
81	389	4363
82	393	4351
83	397	4330
84	399	4296
85	404	4297
86	410	4305
87	414	4290
88	415	4256
89	421	4266
90	425	4247
91	427	4219
92	430	4195
93	432	4168
94	437	4168
95	441	4155
96	444	4140
97	446	4110
98	452	4116
99	456	4105
100	458	4080
101	461	4061
102	463	4034
103	468	4036
104	472	4025
105	474	4003
106	477	3985
107	481	3979
108	486	3977
109	489	3958
110	492	3945
111	494	3921
112	500	3927
113	503	3914
114	506	3894
115	508	3877
116	514	3880
117	518	3873
118	520	3855
119	523	3839
120	525	3816
121	531	3822
122	534	3812
123	537	3794
124	540	3781
125	545	3786
126	551	3791
127	555	3784
128	560	3787
129	566	3790
130	568	3771
131	571	3757
132	573	3741
133	581	3754
134	583	3739
135	587	3729
136	589	3710
137	595	3717
138	598	3706
139	600	3691
140	603	3676
141	607	3672
142	612	3668
143	614	3653
144	618	3645
145	620	3631
146	627	3640
147	630	3626
148	633	3618
149	635	3601
150	641	3608
151	645	3600
152	649	3594
153	651	3579
154	657	3585
155	661	3578
156	664	3565
157	666	3552
158	671	3552
159	676	3551
160	678	3537
161	681	3526
162	683	3512
163	690	3519
164	695	3517
165	699	3514
166	706	3524
167	709	3515
168	713	3507
169	715	3494
170	723	3505
171	726	3496
172	729	3486
173	736	3494
174	740	3491
175	746	3493
176	752	3497
177	757	3500
178	762	3495
179	768	3503
180	774	3503
181	778	3499
182	787	3517
183	792	3515
184	799	3522
185	804	3522
186	810	3522
187	816	3526
188	821	3524
189	827	3526
190	834	3536
191	839	3534
192	844	3530
193	851	3536
194	857	3539
195	864	3545
196	870	3546
197	877	3556
198	882	3553
199	886	3546
200	889	3535
201	899	3551
202	905	3553
203	911	3554
204	917	3558
205	922	3554
206	927	3555
207	934	3559
208	942	3566
209	947	3564
210	953	3564
211	960	3568
212	967	3574
213	974	3579
214	981	3582
215	985	3577
216	992	3582
217	1000	3587
218	1008	3595
219	1013	3591
220	1016	3582
221	1021	3579
222	1026	3578
223	1031	3574
224	1037	3573
225	1042	3569
226	1045	3559
227	1048	3549
228	1054	3550
229	1060	3548
230	1064	3543
231	1069	3541
232	1074	3537
233	1079	3534
234	1084	3531
235	1091	3534
236	1096	3531
237	1104	3535
238	1108	3528
239	1112	3523
240	1119	3526
241	1123	3519
242	1127	3513
243	1134	3515
244	1139	3511
245	1143	3506
246	1152	3512
247	1156	3507
248	1161	3501
249	1167	3501
250	1171	3495
251	1176	3490
252	1184	3496
253	1187	3488
254	1191	3481
255	1198	3483
256	1202	3477
257	1207	3472
258	1213	3470
259	1218	3467
260	1223	3464
261	1230	3465
262	1235	3461
263	1239	3456
264	1247	3459
265	1251	3453
266	1256	3448
267	1263	3449
268	1267	3443
269	1279	3458
270	1283	3452
271	1288	3449
272	1298	3457
273	1302	3452
274	1310	3453
275	1316	3452
276	1325	3459
277	1331	3457
278	1336	3452
279	1346	3461
280	1351	3456
281	1357	3456
282	1362	3451
283	1367	3446
284	1373	3446
285	1378	3441
286	1383	3436
287	1389	3435
288	1393	3429
289	1398	3425
290	1406	3426
291	1410	3420
292	1415	3415
293	1421	3414
294	1425	3407
295	1430	3402
296	1437	3402
297	1442	3398
298	1447	3394
299	1454	3393
300	1459	3389
301	1464	3383
302	1471	3384
303	1477	3381
304	1486	3387
305	1489	3379
306	1494	3374
307	1502	3374
308	1506	3369
309	1510	3361
310	1517	3360
311	1521	3355
312	1525	3349
313	1532	3348
314	1537	3344
315	1541	3337
316	1550	3339
317	1553	3332
318	1558	3326
319	1564	3325
320	1569	3319
321	1573	3312
322	1581	3315
323	1584	3306
324	1588	3298
325	1600	3308
326	1603	3300
327	1606	3290
328	1612	3289
329	1617	3284
330	1621	3276
331	1627	3275
332	1631	3268
333	1636	3262
334	1642	3261
335	1648	3256
336	1652	3250
337	1658	3249
338	1663	3244
339	1668	3239
340	1675	3238
341	1681	3235
342	1684	3226
343	1691	3226
344	1696	3220
345	1699	3213
346	1706	3210
347	1711	3205
348	1713	3196
349	1719	3193
350	1724	3188
351	1728	3182
352	1736	3181
353	1740	3176
354	1744	3170
355	1748	3162
356	1756	3163
357	1759	3155
358	1763	3148
359	1770	3147
360	1774	3140
361	1778	3134
362	1785	3132
363	1789	3126
364	1793	3120
365	1801	3121
366	1804	3111
367	1807	3103
368	1811	3098
369	1815	3091
370	1819	3084
371	1822	3077
372	1827	3071
373	1832	3067
374	1835	3058
375	1837	3050
376	1843	3046
377	1848	3041
378	1851	3033
379	1854	3025
380	1859	3021
381	1864	3017
382	1870	3012
383	1877	3012
384	1882	3006
385	1886	3000
386	1893	2999
387	1898	2993
388	1908	2997
389	1914	2993
390	1922	2994
391	1932	2996
392	1940	2997
393	1945	2992
394	1950	2988
395	1958	2987
396	1970	2992
397	1977	2991
398	1988	2995
399	1995	2993
400	2005	2995
401	2010	2990
402	2015	2985
403	2024	2986
404	2039	2995
405	2045	2992
406	2056	2995
407	2065	2997
408	2072	2995
409	2076	2988
